,Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face
57,17500000,Balaju,2.0,2.0,4,1711.25,12.0,Kathmandu,East
58,14200000,Balaju,2.0,2.0,5,1240.65625,13.0,Kathmandu,North West
59,25000000,Balaju,3.0,3.0,3,2053.5,14.0,Kathmandu,South
60,26000000,Balaju,2.5,3.0,4,1540.125,13.0,Kathmandu,East
61,26000000,Balaju,2.0,3.0,4,1796.8125,13.0,Kathmandu,East
62,38000000,Balaju,3.0,5.0,8,1369.0,13.0,Kathmandu,West
65,28500000,Balaju,3.0,3.0,6,1197.875,13.0,Kathmandu,West
68,17000000,other,3.0,3.0,6,1026.75,16.0,Kathmandu,East
69,29000000,other,2.5,4.0,5,1369.0,13.0,Kathmandu,South East
71,36500000,Balkhu,3.0,3.0,6,1369.0,13.0,Kathmandu,West
72,29200000,Balkhu,3.0,4.0,4,1026.75,13.0,Kathmandu,West
73,22300000,Balkhu,2.5,3.0,3,1026.75,16.0,Kathmandu,North
74,22350000,Balkhu,2.5,3.0,3,1026.75,16.0,Kathmandu,North
75,23000000,Balkhu,3.0,2.0,3,1796.8125,20.0,Kathmandu,East
77,42500000,Balkhu,3.0,3.0,8,2053.5,12.5,Kathmandu,South West
78,45000000,Balkhu,2.5,3.0,4,2652.4375,16.0,Kathmandu,East
79,49500000,Balkhu,3.0,7.0,7,3080.25,10.0,Kathmandu,South
80,72000000,Balkhu,2.5,5.0,7,2738.0,20.0,Kathmandu,West
81,72500000,Balkhu,3.0,5.0,6,2738.0,20.0,Kathmandu,South
85,14500000,Balkot,2.5,3.0,5,1369.0,13.0,Bhaktapur,West
86,19000000,Balkot,3.0,4.0,3,1026.75,10.0,Bhaktapur,North
87,24000000,Balkot,2.5,3.0,6,1711.25,13.0,Bhaktapur,East
88,27500000,Balkot,2.5,4.0,4,1155.09375,13.0,Bhaktapur,West
89,28000000,Balkot,3.0,5.0,5,1129.425,13.0,Bhaktapur,West
90,29000000,Balkot,2.0,3.0,3,1796.8125,20.0,Bhaktapur,North
91,42500000,Balkot,3.5,4.0,4,2053.5,10.0,Bhaktapur,South
92,25000000,Balkot,3.0,4.0,5,1112.31,13.0,Bhaktapur,West
93,31500000,Balkot,3.0,4.0,5,1711.25,13.0,Bhaktapur,West
94,28000000,Balkot,3.0,5.0,5,1347.6,13.0,Bhaktapur,West
95,27000000,Balkot,3.0,4.0,5,1095.2,13.0,Bhaktapur,West
96,27000000,Balkot,3.0,2.0,4,1369.0,13.0,Bhaktapur,West
97,35000000,Balkot,3.0,5.0,7,1711.25,13.0,Bhaktapur,West
98,35000000,Balkot,3.0,4.0,6,2395.75,13.0,Bhaktapur,West
99,22500000,other,3.5,1.0,7,1026.75,13.0,Lalitpur,West
100,47000000,other,3.0,4.0,5,1471.675,13.0,Lalitpur,South
101,60000000,other,3.5,6.0,6,3080.25,13.0,Lalitpur,East
102,30000000,other,2.5,4.0,7,1582.9,13.0,Kathmandu,West
103,34000000,Baluwakhani,3.0,2.0,6,1129.425,13.0,Kathmandu,West
104,21500000,Baluwakhani,3.0,3.0,4,1026.75,12.0,Kathmandu,South East
105,27500000,Baluwakhani,2.5,4.0,6,1095.2,10.0,Kathmandu,West
106,34500000,Baluwakhani,2.5,5.0,7,1745.475,13.0,Kathmandu,East
107,26500000,Baluwakhani,2.5,4.0,4,1369.0,13.0,Kathmandu,West
108,28000000,Baluwakhani,3.0,3.0,5,1112.31,13.0,Kathmandu,West
109,24000000,Baluwakhani,3.0,3.0,5,1197.875,13.0,Kathmandu,West
110,28000000,Baluwakhani,2.5,5.0,9,1026.75,13.0,Kathmandu,West
112,39000000,Baluwakhani,3.0,5.0,6,1437.45,13.0,Kathmandu,West
113,39000000,Baluwakhani,3.0,5.0,6,1437.45,13.0,Kathmandu,West
114,37500000,Baluwakhani,3.0,5.0,6,1369.0,13.0,Kathmandu,West
115,39900000,Baluwakhani,2.5,3.0,5,1711.25,13.0,Kathmandu,West
116,27000000,Baluwakhani,2.5,3.0,3,1440.0,12.0,Kathmandu,East
117,30000000,Baluwatar,3.0,4.0,4,1369.0,13.0,Kathmandu,West
118,50000000,Baluwatar,3.0,4.0,4,1711.25,13.0,Kathmandu,West
119,57500000,Baluwatar,3.0,5.0,5,1711.25,13.0,Kathmandu,West
120,60000000,Baluwatar,3.0,3.0,5,1711.25,13.0,Kathmandu,West
121,55000000,Baluwatar,3.0,3.0,5,1711.25,13.0,Kathmandu,West
122,60000000,Baluwatar,3.0,3.0,5,2738.0,13.0,Kathmandu,West
123,65000000,Baluwatar,2.5,3.0,6,2806.45,13.0,Kathmandu,West
126,39000000,Baluwatar,2.5,3.0,7,1711.25,10.0,Kathmandu,North
127,39500000,Baluwatar,2.0,3.0,3,1882.375,15.0,Kathmandu,East
128,42500000,Baluwatar,3.0,6.0,6,2053.5,15.0,Kathmandu,South East
129,51500000,Baluwatar,3.0,3.0,6,2053.5,12.0,Kathmandu,North East
130,55000000,Baluwatar,2.5,3.0,4,2738.0,10.0,Kathmandu,South
131,55000000,Baluwatar,3.0,5.0,4,1796.8125,12.0,Kathmandu,South East
132,55000000,Baluwatar,2.5,5.0,4,1745.475,12.0,Kathmandu,South East
133,55000000,Baluwatar,2.5,5.0,6,1745.475,13.0,Kathmandu,North East
134,55000000,Baluwatar,2.5,4.0,4,1711.25,13.0,Kathmandu,South East
135,56000000,Baluwatar,3.0,4.0,4,2738.0,13.0,Kathmandu,North
136,60000000,Baluwatar,2.5,5.0,5,2053.5,13.0,Kathmandu,South
137,60000000,Baluwatar,3.0,5.0,5,2053.5,13.0,Kathmandu,North East
138,61000000,Baluwatar,3.0,6.0,5,2053.5,14.0,Kathmandu,North
139,65000000,Baluwatar,3.0,5.0,5,2224.625,20.0,Kathmandu,West
140,68000000,Baluwatar,2.5,3.0,6,2806.45,14.0,Kathmandu,East
141,71500000,Baluwatar,3.5,7.0,8,2053.5,12.5,Kathmandu,East
142,67500000,Baluwatar,2.5,4.0,7,2652.4375,13.0,Kathmandu,West
143,80000000,Baluwatar,2.5,3.0,3,3422.5,13.0,Kathmandu,West
144,80000000,Baluwatar,3.0,5.0,4,3422.5,13.0,Kathmandu,West
145,80000000,Baluwatar,3.0,5.0,4,3422.5,13.0,Kathmandu,West
146,75000000,Baluwatar,3.0,4.0,5,2139.06,13.0,Kathmandu,West
147,80000000,Baluwatar,3.0,3.0,5,2053.5,13.0,Kathmandu,West
148,55000000,Baluwatar,3.0,3.0,6,2909.125,13.0,Kathmandu,West
149,55000000,Baluwatar,2.5,3.0,6,2909.125,13.0,Kathmandu,West
150,65000000,Baluwatar,2.5,4.0,5,1711.25,13.0,Kathmandu,West
151,58500000,Baluwatar,2.5,5.0,4,1369.0,13.0,Kathmandu,West
152,20000000,Banasthali,2.5,2.0,5,1026.75,13.0,Kathmandu,West
153,31500000,Banasthali,3.0,4.0,5,1060.975,13.0,Kathmandu,West
155,22500000,Banasthali,2.0,3.0,4,1026.75,15.0,Kathmandu,East
156,26000000,Banasthali,2.5,3.0,5,1437.45,16.0,Kathmandu,South
157,27500000,Banasthali,2.5,5.0,5,1369.0,13.0,Kathmandu,South
158,29500000,Banasthali,2.5,3.0,4,1026.75,10.0,Kathmandu,East
159,31000000,Banasthali,2.5,4.0,4,1369.0,12.0,Kathmandu,South
160,34000000,Banasthali,3.5,5.0,6,1369.0,13.0,Kathmandu,East
161,34000000,Banasthali,3.0,4.0,6,1369.0,13.0,Kathmandu,East
163,39500000,Banasthali,3.0,6.0,5,1967.9375,20.0,Kathmandu,North
164,42000000,Banasthali,2.5,4.0,8,2806.45,12.0,Kathmandu,South
165,45000000,Banasthali,3.0,5.0,7,1497.34,13.0,Kathmandu,North
166,38000000,Baneshwor,2.5,3.0,6,1026.75,13.0,Kathmandu,West
167,38000000,Baneshwor,3.5,4.0,6,1026.75,20.0,Kathmandu,South West
168,38700000,Baneshwor,3.0,5.0,6,1369.0,15.0,Kathmandu,East
169,47500000,Baneshwor,2.5,4.0,5,2738.0,10.0,Kathmandu,West
170,63500000,Baneshwor,2.5,4.0,8,2464.2,20.0,Kathmandu,North East
171,16500000,Baniyatar,3.0,3.0,6,1112.3125,10.0,Kathmandu,South
173,22000000,Baniyatar,3.0,3.0,8,1369.0,16.0,Kathmandu,North West
174,23500000,Baniyatar,3.0,5.0,7,1129.425,13.0,Kathmandu,East
175,23500000,Baniyatar,2.5,4.0,5,1411.78,14.0,Kathmandu,South
176,23750000,Baniyatar,3.0,5.0,6,1197.875,12.0,Kathmandu,North West
177,24000000,Baniyatar,3.0,6.0,6,1454.5625,15.0,Kathmandu,North East
178,25000000,Baniyatar,3.0,5.0,7,1711.25,11.0,Kathmandu,South
179,27000000,Baniyatar,2.5,3.0,7,1129.425,13.0,Kathmandu,South West
180,28500000,Baniyatar,3.5,3.0,6,1711.25,10.0,Kathmandu,South East
181,29000000,Baniyatar,3.0,5.0,6,1369.0,20.0,Kathmandu,East
182,35000000,Baniyatar,3.0,5.0,8,1540.125,20.0,Kathmandu,East
183,19300000,Baniyatar,2.5,3.0,6,1197.875,13.0,Kathmandu,West
184,17500000,Baniyatar,3.0,3.0,4,1026.75,13.0,Kathmandu,West
186,28000000,Baniyatar,2.5,3.0,7,1197.875,13.0,Kathmandu,West
187,25000000,Baniyatar,2.5,4.0,5,1060.975,13.0,Kathmandu,West
188,29000000,Bansbari,2.5,4.0,6,1390.39,10.0,Kathmandu,West
189,36000000,Bansbari,3.0,5.0,6,2053.5,10.0,Kathmandu,South East
190,36000000,Bansbari,3.0,6.0,6,2053.5,10.0,Kathmandu,South East
191,45000000,Bansbari,2.5,5.0,6,2738.0,16.0,Kathmandu,West
192,45000000,Bansbari,3.0,5.0,6,2738.0,16.0,Kathmandu,North West
193,45000000,Bansbari,2.0,4.0,6,2738.0,20.0,Kathmandu,East
194,47500000,Bansbari,2.0,5.0,4,2738.0,16.0,Kathmandu,East
195,50000000,Bansbari,2.5,4.0,4,2395.75,13.0,Kathmandu,South
196,51000000,Bansbari,2.5,5.0,5,1437.45,12.0,Kathmandu,South
197,52000000,Bansbari,2.5,5.0,4,1471.675,12.0,Kathmandu,South
